lyric,occurence,pos
you,1569,PRO
i,1554,N
the,1167,DET
me,875,PRO
and,813,CNJ
it,778,PRO
my,751,PRO
a,722,DET
to,664,TO
i'm,557,
oh,526,UH
your,523,PRO
like,458,CNJ
in,438,P
that,434,CNJ
on,411,P
be,390,V
love,359,N
all,354,DET
up,344,ADV
baby,312,N
so,299,DET
don't,278,V
know,255,V
yeah,254,ADV
we,253,PRO
got,248,VD
now,242,ADV
of,231,P
this,228,DET
just,225,ADV
but,215,CNJ
down,213,ADV
do,208,V
is,204,V
it's,196,PRO
want,194,V
for,191,P
out,186,ADV
when,186,WH
right,183,ADJ
no,182,DET
make,174,V
with,167,P
go,163,V
back,162,ADV
get,161,V
what,158,WH
say,157,V
imma,156,
if,154,CNJ
wanna,151,VB+TO
can,147,MOD
she,146,PRO
take,146,V
time,144,N
gonna,141,VBG+TO
way,136,N
'cause,135,
girl,135,N
one,130,NUM
her,128,PRO
hey,127,UH
they,127,PRO
come,125,V
let,116,V
not,116,*
ain't,115,V
at,115,P
are,112,V
you're,112,PRO
can't,111,MOD
only,110,ADV
was,109,V
how,107,WH
aah,100,
could,99,MOD
heart,99,N
ever,97,ADV
see,96,V
na,95,
never,94,ADV
from,93,P
bad,88,ADJ
i'll,88,
let's,84,VB+PPO
feel,81,V
here,81,ADV
rock,80,N
good,78,ADJ
tell,77,V
as,76,CNJ
stop,76,V
tonight,76,N
night,75,N
give,74,V
life,74,N
more,74,DET
better,73,ADJ
been,72,V
hands,72,N
break,71,V
have,70,V
there,70,EX
where,70,WH
even,67,ADV
won't,67,MOD
put,66,V
body,65,N
hard,65,ADJ
think,64,V
look,62,V
who,62,WH
off,60,ADV
there's,59,EX
need,58,N
or,58,CNJ
than,58,CNJ
around,57,P
call,57,V
that's,57,DET
we're,57,PRO
away,56,ADV
boy,56,N
them,56,PRO
nothing,55,PRO
turn,55,V
everybody,54,PRO
had,53,V
chick,52,N
some,52,DET
again,51,ADV
find,51,V
name,51,N
bottoms,50,N
ay,49,
everything,47,PRO
magic,47,ADJ
world,47,N
blah,46,
really,46,ADV
every,45,DET
club,44,N
i've,44,
wish,44,V
gon',43,
hear,43,V
head,42,N
keep,42,V
made,42,VN
remember,42,V
shit,42,N
then,42,ADV
us,42,PRO
dream,41,N
dougie,40,
gone,40,VN
gotta,40,VBN+TO
would,40,MOD
before,39,CNJ
dance,39,N
money,39,N
'em,37,PRO
girls,37,N
enough,36,DET
eyes,36,N
he,36,PRO
over,36,P
romance,36,N
show,36,V
something,36,PRO
too,36,DET
two,36,NUM
day,35,N
la,35,FW
leave,35,V
comes,34,VBZ
move,34,V
naturally,34,ADV
thing,34,N
goin',33,VG
little,33,DET
stuck,33,VN
why,33,WH
ya,33,PRO
am,32,V
home,32,N
knows,32,VBZ
last,32,DET
party,32,N
said,32,VD
well,32,ADV
will,32,MOD
bring,31,V
into,31,P
lover,31,N
mind,31,N
tie,31,N
walk,31,V
about,30,P
babe,30,
always,29,ADV
by,29,P
first,29,NUM
mayne,29,
our,29,PRO
top,29,N
touch,29,N
beat,28,N
believe,28,V
did,28,V
without,28,P
bitches,27,
damn,27,ADJ
i'd,27,
long,27,ADJ
might,27,MOD
mine,27,PRO
oooh,27,
ready,27,ADJ
song,27,N
thought,27,VD
through,27,P
whutooo,27,
you'll,27,PRO
bed,26,N
bitch,26,N
man,26,N
things,26,N
