lyric,occurence,pos
you,1508,PRO
i,1288,N
the,1006,DET
me,753,PRO
a,641,DET
and,633,CNJ
to,626,TO
it,511,PRO
my,482,PRO
that,451,CNJ
i'm,423,
your,392,PRO
in,391,P
up,365,ADV
on,353,P
like,326,CNJ
oh,314,UH
we,305,PRO
baby,285,N
love,282,N
don't,281,V
so,273,DET
know,238,V
but,223,CNJ
just,211,ADV
for,207,P
of,205,P
all,199,DET
you're,198,PRO
no,195,DET
be,190,V
never,188,ADV
this,188,DET
is,177,V
get,173,V
one,168,NUM
got,167,VD
it's,167,PRO
with,166,P
now,165,ADV
go,163,V
girl,157,N
yeah,157,ADV
out,150,ADV
can,149,MOD
if,147,CNJ
when,143,WH
come,130,V
make,126,V
let,125,V
ass,124,N
back,124,ADV
i'll,124,
time,124,N
what,123,WH
down,120,ADV
want,119,V
good,117,ADJ
turn,116,V
ooh,112,
do,107,V
have,106,V
let's,105,VB+PPO
at,104,P
take,99,V
night,97,N
was,96,V
had,93,V
heart,91,N
wanna,90,VB+TO
gonna,89,VBG+TO
'cause,88,
hey,88,UH
as,86,CNJ
can't,86,MOD
say,86,V
away,84,ADV
see,82,V
she,79,PRO
ain't,78,V
they,78,PRO
we're,78,PRO
run,77,V
every,76,DET
na,76,
i've,75,
are,74,V
ever,74,ADV
put,74,V
think,73,V
not,71,*
where,71,WH
more,70,DET
over,70,P
been,68,V
right,68,ADJ
hard,67,ADJ
how,67,WH
from,66,P
here,65,ADV
life,63,N
rumour,63,
bitch,62,N
work,60,N
little,59,DET
would,59,MOD
home,58,N
that's,58,DET
day,57,N
need,57,N
too,57,DET
always,56,ADV
her,56,PRO
there's,56,EX
feel,55,V
da,53,
give,53,V
look,53,V
tonight,52,N
'em,51,PRO
could,51,MOD
there,51,EX
ya,51,PRO
hands,49,N
nothing,49,PRO
am,48,V
won't,48,MOD
about,47,P
city,47,N
even,47,ADV
lights,47,N
will,47,MOD
show,45,V
way,45,N
by,44,P
shit,44,N
call,43,V
feeling,43,N
still,43,ADV
than,43,CNJ
them,43,PRO
break,42,V
lie,42,V
long,42,ADJ
then,41,ADV
whistle,41,N
fall,40,N
only,40,ADV
tell,40,V
thing,39,N
'bout,38,P
keep,38,V
wake,38,V
were,38,V
has,37,V
hold,37,V
man,37,N
some,37,DET
try,37,V
us,37,PRO
world,37,N
young,37,ADJ
last,36,DET
looking,36,VG
told,36,VD
who,36,WH
came,35,VD
die,35,V
hear,35,V
music,35,N
real,35,ADJ
blow,34,N
talk,34,V
much,33,DET
really,33,ADV
