lyric,occurence,pos
you,1848,PRO
i,1758,N
the,1400,DET
it,1035,PRO
to,994,TO
me,936,PRO
and,876,CNJ
a,773,DET
my,572,PRO
i'm,537,
in,504,P
on,501,P
that,460,CNJ
like,451,CNJ
be,372,V
know,368,V
so,362,DET
this,345,DET
your,340,PRO
do,334,V
get,311,V
all,299,DET
with,289,P
don't,285,V
we,285,PRO
she,283,PRO
is,272,V
it's,269,PRO
up,266,ADV
but,264,CNJ
of,260,P
make,257,V
for,256,P
oh,254,UH
got,253,VD
love,251,N
what,249,WH
go,246,V
now,246,ADV
just,243,ADV
can,225,MOD
if,222,CNJ
they,213,PRO
no,205,DET
see,203,V
wanna,201,VB+TO
when,201,WH
way,193,N
'cause,177,
her,176,PRO
baby,173,N
ain't,169,V
out,159,ADV
girl,158,N
let,151,V
right,149,ADJ
never,146,ADV
say,145,V
want,142,V
can't,137,MOD
one,132,NUM
not,128,*
he,122,PRO
rock,122,N
how,121,WH
at,120,P
why,119,WH
boy,118,N
back,117,ADV
around,114,P
better,112,ADJ
come,111,V
yeah,111,ADV
ya,109,PRO
hey,107,UH
time,107,N
here,105,ADV
give,103,V
have,102,V
i'll,102,
that's,102,DET
uh,102,
could,101,MOD
about,100,P
gonna,98,VBG+TO
you're,96,PRO
feel,95,V
take,92,V
think,92,V
tell,89,V
will,89,MOD
ay,87,
gone,84,VN
them,84,PRO
where,84,WH
watch,81,V
away,79,ADV
hot,79,ADJ
need,78,N
been,77,V
keep,77,V
then,77,ADV
da,75,
life,75,N
from,74,P
man,74,N
bay,73,N
down,72,ADV
party,72,N
u,72,PRO
over,70,P
shawty,69,
hard,68,ADJ
money,68,N
night,68,N
ooh,68,
was,67,V
as,66,CNJ
because,65,CNJ
tonight,65,N
we'll,65,PRO
off,64,ADV
walk,63,V
by,62,P
too,62,DET
rain,61,N
shit,61,N
club,59,N
us,59,PRO
dat,57,
i've,57,
world,57,N
won't,56,MOD
bed,55,N
cold,55,ADJ
kiss,55,V
really,55,ADV
would,55,MOD
eh,54,UH
ahead,53,ADV
even,53,ADV
goes,53,VBZ
good,53,ADJ
some,53,DET
still,53,ADV
try,53,V
waiting,53,VG
2,52,NUM
big,52,ADJ
put,52,V
body,51,N
