lyric,occurence,pos
guess,97,V
moves,97,VBZ
pull,97,V
bet,96,V
eh,95,UH
feels,95,VBZ
pay,95,V
slow,95,ADJ
diamonds,94,N
gettin',94,VG
three,94,NUM
anything,93,PRO
dollar,93,N
someone,93,PRO
times,93,N
town,93,N
end,92,N
feelin',92,
lot,92,N
sing,92,V
soulja,92,
you'd,92,PRO
after,91,P
i'ma,91,
lady,91,N
meet,91,V
alive,90,ADJ
boys,90,N
mad,90,ADJ
pain,90,N
ridin',90,
stuck,90,VN
dark,89,ADJ
door,89,N
phone,88,N
says,88,VBZ
woah,88,
hair,87,N
ladies,87,N
loved,87,VD
today,87,N
under,87,P
met,86,VD
ohh,86,
words,86,N
they're,85,PRO
chick,84,N
crank,84,N
kind,84,N
mama,84,
their,84,PRO
aye,83,ADV
ball,83,N
broke,83,VD
falling,83,VG
check,82,N
free,82,ADJ
lay,82,VD
once,82,ADV
started,82,VD
ask,81,V
days,81,N
different,81,ADJ
friend,81,N
listen,81,V
lonely,81,ADJ
loving,81,VG
yourself,81,PRO
arms,80,N
bang,80,V
im,80,
nothin',80,PRO
doing,79,VG
stars,79,N
thinkin',79,
white,79,ADJ
ah,78,UH
bout,78,N
saying,78,VG
bay,77,N
blame,77,V
dj,77,
does,77,V
hood,77,N
jeans,77,
running,77,VG
took,77,VD
bright,76,ADJ
chance,76,N
womanizer,76,
burn,75,V
dancing,75,VG
doesn't,75,V
many,75,DET
n,75,N
radio,75,N
though,75,CNJ
whatever,75,WH
woman,75,N
worry,75,V
boss,74,N
both,74,DET
cool,74,ADJ
fast,74,ADV
hurt,74,V
making,74,VG
soul,74,N
wonder,74,V
act,73,N
bottom,73,N
house,73,N
room,73,N
save,73,V
seems,73,VBZ
wouldn't,73,MOD
yea,73,ADV
doin',72,VG
halo,72,N
piece,72,N
talkin',72,VG
thinking,72,VG
yellow,72,ADJ
lolli,71,
trouble,71,N
tryna,71,
went,71,VD
babe,70,
its,70,PRO
smack,70,V
any,69,DET
hips,69,N
ring,69,N
'round,68,ADV
booty,68,N
fallin',68,
most,68,DET
shorty,68,
sick,68,ADJ
spot,68,N
carry,67,V
caught,67,VD
ground,67,N
locked,67,VN
sex,67,N
standing,67,VG
truth,67,N
between,66,P
gold,66,N
hoes,66,N
second,66,NUM
somethin',66,PRO
cuz,65,
rockin',65,
be-dum,64,
belong,64,V
buy,64,V
chain,64,N
cup,64,N
daddy,64,
everyone,64,PRO
fuckin',64,
mayne,64,
wild,64,ADJ
bar,63,N
everywhere,63,ADV
felt,63,VD
loud,63,ADJ
may,63,MOD
probably,63,ADV
rumour,63,
bottles,62,N
clothes,62,N
fell,62,VD
grab,62,V
hide,62,V
keeps,62,VBZ
talking,62,VG
afraid,61,ADJ
blue,61,ADJ
couple,61,N
cut,61,V
diamond,61,N
easy,61,ADJ
part,61,N
since,61,CNJ
sorry,61,ADJ
trust,61,V
breath,60,N
broken,60,VN
fix,60,V
honey,60,N
kinda,60,DET
million,60,NUM
morning,60,N
mum,60,ADJ
reason,60,N
saw,60,VD
spend,60,V
treat,60,V
tried,60,VD
we've,60,PRO
wee-ooh-wee-ooh-wee,60,
anymore,59,ADV
dead,59,ADJ
drunk,59,ADJ
number,59,N
perfect,59,ADJ
push,59,V
wit',59,
half,58,DET
hatin',58,
magic,58,ADJ
meant,58,VD
poppin',58,
singing,58,VG
tears,58,N
yours,58,PRO
'til,57,
control,57,N
fun,57,N
livin',57,
type,57,N
wayne,57,
wind,57,N
word,57,N
born,56,VN
em,56,PRO
escape,56,V
gets,56,VBZ
ho,56,
outta,56,
stupid,56,ADJ
taste,56,N
closer,55,ADV
hoe,55,
i'mma,55,
line,55,N
london,55,
playing,55,VG
safe,55,ADJ
shut,55,VN
straight,55,ADJ
