lyric,occurence,pos
the,1481,DET
i,1462,N
you,1437,PRO
and,837,CNJ
it,769,PRO
me,761,PRO
a,721,DET
to,692,TO
my,652,PRO
in,549,P
oh,547,UH
i'm,517,
on,472,P
that,459,CNJ
up,440,ADV
all,390,DET
your,380,PRO
yeah,352,ADV
like,345,CNJ
we,319,PRO
be,304,V
of,298,P
for,285,P
don't,283,V
so,280,DET
la,279,FW
just,268,ADV
this,268,DET
baby,250,N
go,227,V
but,225,CNJ
know,225,V
get,216,V
with,216,P
got,204,VD
is,200,V
love,197,N
it's,191,PRO
girl,189,N
if,186,CNJ
now,185,ADV
do,184,V
when,183,WH
you're,177,PRO
back,168,ADV
no,165,DET
never,161,ADV
what,158,WH
wanna,157,VB+TO
out,156,ADV
see,155,V
come,154,V
can,146,MOD
way,146,N
make,144,V
ain't,143,V
she,141,PRO
want,138,V
'cause,136,
na,136,
tonight,136,N
at,135,P
let,135,V
time,122,N
put,121,V
right,118,ADJ
down,117,ADV
they,117,PRO
feel,115,V
are,114,V
gonna,113,VBG+TO
had,108,V
her,106,PRO
can't,105,MOD
was,104,V
life,102,N
could,96,MOD
take,94,V
world,93,N
night,92,N
one,92,NUM
them,89,PRO
hands,87,N
gotta,85,VBN+TO
not,85,*
about,82,P
i'll,82,
who,82,WH
look,80,V
say,76,V
how,75,WH
here,74,ADV
more,74,DET
need,73,N
rock,73,N
we're,72,PRO
tell,71,V
think,70,V
that's,68,DET
ever,67,ADV
have,67,V
money,67,N
only,66,ADV
i've,65,
around,63,P
said,63,VD
will,63,MOD
then,60,ADV
turn,59,V
mind,58,N
really,58,ADV
been,57,V
from,57,P
yellow,57,ADJ
black,56,ADJ
good,56,ADJ
run,56,V
man,55,N
shake,55,V
keep,54,V
last,54,DET
show,54,V
better,53,ADJ
girls,53,N
gon',53,
hey,53,UH
pretty,53,DET
he,52,PRO
heart,52,N
lights,51,N
bottoms,50,N
please,50,V
there,50,EX
day,49,N
floor,49,N
or,49,CNJ
even,47,ADV
eyes,47,N
fuck,47,V
some,47,DET
us,47,PRO
away,46,ADV
little,46,DET
body,45,N
thing,45,N
boy,44,N
where,44,WH
as,43,CNJ
born,43,VN
cause,43,N
dance,43,N
edge,43,N
let's,43,VB+PPO
through,42,P
too,42,DET
off,41,ADV
than,41,CNJ
coming,40,VG
every,40,DET
shit,40,N
again,39,ADV
enough,39,DET
give,39,V
party,39,N
push,39,V
these,39,DET
would,39,MOD
ya,39,PRO
'em,38,PRO
beautiful,38,ADJ
over,38,P
place,38,N
best,37,ADJ
everybody,37,PRO
home,37,N
name,37,N
says,37,VBZ
what's,37,WH
boom,36,N
call,36,V
hate,36,V
there's,36,EX
were,36,V
won't,36,MOD
work,36,N
bass,35,N
crazy,35,ADJ
goes,35,VBZ
niggas,35,
roll,35,V
kiss,34,V
long,34,ADJ
ooh,34,
bet,33,V
dream,33,N
nothing,33,PRO
still,33,ADV
stop,33,V
throw,33,V
wish,33,V
-,32,P
drink,32,N
other,32,DET
everything,31,PRO
hold,31,V
leave,31,V
running,31,VG
air,30,N
uh,30,
why,30,WH
without,30,P
'bout,29,P
dancing,29,VG
dj,29,
hard,29,ADJ
hear,29,V
lot,29,N
moment,29,N
our,29,PRO
ah,28,UH
beat,28,N
found,28,VN
light,28,N
sweat,28,N
yo,28,
alive,27,ADJ
change,27,N
deep,27,ADJ
i'mma,27,
real,27,ADJ
till,27,CNJ
you'll,27,PRO
another,26,DET
bad,26,ADJ
dark,26,ADJ
told,26,VD
am,25,V
an,25,DET
by,25,P
inside,25,P
looking,25,VG
start,25,V
swear,25,V
well,25,ADV
big,24,ADJ
blow-oh-oh-oh,24,
gave,24,VD
i'd,24,
lose,24,V
na-na-na-na,24,
road,24,N
seat,24,N
side,24,N
waiting,24,VG
while,24,CNJ
young,24,ADJ
alright,23,
fire,23,N
friends,23,N
head,23,N
high,23,ADJ
move,23,V
things,23,N
bitch,22,N
fall,22,N
god,22,N
going,22,VG
lost,22,VN
nigga,22,
whoa,22,
you'd,22,PRO
bring,21,V
comes,21,VBZ
ends,21,N
glass,21,N
made,21,VN
maybe,21,ADV
met,21,VD
own,21,ADJ
remember,21,V
rolling,21,VG
touch,21,N
wiggle,21,N
ass,20,N
believe,20,V
club,20,N
felt,20,VD
find,20,V
hit,20,V
play,20,V
something,20,PRO
try,20,V
watch,20,V
care,19,N
damn,19,ADJ
full,19,ADJ
i'ma,19,
jagger,19,
kids,19,N
knows,19,VBZ
makes,19,VBZ
raise,19,V
stay,19,V
thinkin',19,
whoa-oh,19,
wrong,19,ADJ
y'all,19,PRO
yes,19,ADV
always,18,ADV
close,18,ADV
country,18,N
did,18,V
doctor,18,N
drop,18,V
friday,18,
left,18,VN
many,18,DET
matter,18,N
moves,18,VBZ
talk,18,V
tears,18,N
times,18,N
doing,17,VG
done,17,VN
feeling,17,N
fuckin',17,
mine,17,PRO
new,17,ADJ
ooo,17,
ride,17,V
sky,17,N
sometimes,17,ADV
stereo,17,N
walk,17,V
yourself,17,PRO
came,16,VD
cold,16,ADJ
first,16,NUM
forget,16,V
hand,16,N
hopeless,16,ADJ
huh,16,UH
live,16,V
lovin',16,
mean,16,V
might,16,MOD
