lyric,occurence,pos
you,1989,PRO
i,1577,N
it,1346,PRO
the,1300,DET
to,982,TO
me,952,PRO
and,907,CNJ
a,840,DET
my,653,PRO
on,572,P
that,562,CNJ
i'm,556,
in,464,P
do,438,V
so,423,DET
your,404,PRO
know,390,V
up,359,ADV
go,350,V
get,342,V
like,340,CNJ
be,336,V
don't,335,V
we,329,PRO
of,312,P
with,303,P
what,294,WH
just,287,ADV
all,279,DET
it's,272,PRO
but,260,CNJ
oh,258,UH
got,251,VD
she,245,PRO
for,244,P
see,236,V
this,222,DET
girl,220,N
is,215,V
no,214,DET
when,214,WH
if,211,CNJ
wanna,207,VB+TO
can,202,MOD
they,202,PRO
down,198,ADV
baby,196,N
let,196,V
love,184,N
make,182,V
ain't,176,V
say,175,V
one,167,NUM
back,160,ADV
ya,160,PRO
time,152,N
yeah,152,ADV
right,150,ADJ
want,150,V
can't,149,MOD
now,138,ADV
hey,137,UH
at,131,P
wit,131,N
how,126,WH
out,125,ADV
feel,120,V
keep,120,V
been,116,V
never,116,ADV
from,115,P
way,114,N
about,113,P
gotta,113,VBN+TO
come,112,V
you're,111,PRO
have,108,V
uh,104,
'cause,103,
shake,103,V
take,103,V
was,101,V
too,99,DET
every,98,DET
need,98,N
give,97,V
gone,94,VN
her,92,PRO
little,92,DET
he,91,PRO
tell,91,V
that's,85,DET
why,82,WH
man,81,N
not,81,*
turn,79,V
gonna,78,VBG+TO
here,78,ADV
lean,75,V
leave,73,V
i'll,72,
n,72,N
them,71,PRO
yo,71,
dirty,70,ADJ
thing,70,N
tryin',70,
move,68,V
life,66,N
real,66,ADJ
stop,66,V
then,66,ADV
some,64,DET
are,63,V
away,63,ADV
by,63,P
where,63,WH
boy,62,N
waiting,62,VG
ay,61,
looking,61,VG
off,61,ADV
call,60,V
da,60,
had,60,V
good,59,ADJ
show,59,V
there,59,EX
will,59,MOD
catch,58,V
look,58,V
shit,58,N
watch,57,V
think,56,V
would,56,MOD
ridin',55,
us,55,PRO
who,55,WH
along,54,P
rompe,54,
things,54,N
ahead,53,ADV
girls,53,N
check,52,N
sexy,52,ADJ
dance,51,N
day,51,N
money,51,N
more,51,DET
nigga,51,
only,51,ADV
around,50,P
as,50,CNJ
because,50,CNJ
night,50,N
or,50,CNJ
over,50,P
these,50,DET
ass,49,N
beat,49,N
chain,49,N
london,49,
long,49,ADJ
could,48,MOD
well,48,ADV
dat,47,
nothing,47,PRO
heart,46,N
put,46,V
rock,46,N
she's,46,PRO
cause,45,N
club,45,N
i've,45,
touch,45,N
u,45,PRO
alright,44,
other,44,DET
bring,43,V
mind,43,N
shoulder,42,N
'em,41,PRO
left,41,VN
chorus,40,N
hard,40,ADJ
igh,40,
still,40,ADV
another,39,DET
low,39,ADJ
try,39,V
-,38,P
huh,38,UH
pay,38,V
really,38,ADV
work,38,N
home,37,N
laffy,37,
late,37,ADJ
ride,37,V
taffy,37,N
what's,37,WH
world,37,N
big,36,ADJ
run,36,V
won't,36,MOD
booty,35,N
damn,35,ADJ
hump,35,
pop,35,N
there's,35,EX
tonight,35,N
we're,35,PRO
always,34,ADV
first,34,NUM
ha,34,UH
la,34,FW
stay,34,V
walk,34,V
find,33,V
hands,32,N
head,32,N
ie,32,
niggas,32,
smack,32,V
smile,32,N
an,31,DET
before,31,CNJ
ever,31,ADV
goin',31,VG
tryna,31,
while,31,CNJ
wish,31,V
wrong,31,ADJ
2,30,NUM
bitch,30,N
else,30,ADV
goodbye,30,UH
ha-ha,30,
hear,30,V
his,30,PRO
much,30,DET
tha,30,
