lyric,occurence,pos
i,1435,N
you,1352,PRO
the,1174,DET
and,693,CNJ
a,660,DET
to,640,TO
me,622,PRO
it,609,PRO
my,562,PRO
up,449,ADV
in,411,P
on,348,P
love,344,N
all,338,DET
know,324,V
we,324,PRO
your,324,PRO
that,319,CNJ
i'm,316,
don't,293,V
like,275,CNJ
yeah,269,ADV
of,254,P
oh,250,UH
be,242,V
but,236,CNJ
get,225,V
for,221,P
is,218,V
this,216,DET
just,209,ADV
so,207,DET
now,197,ADV
when,194,WH
got,193,VD
night,187,N
we're,186,PRO
you're,184,PRO
it's,182,PRO
with,177,P
want,166,V
what,160,WH
baby,159,N
can,153,MOD
go,153,V
hey,151,UH
let,145,V
down,140,ADV
make,136,V
girl,117,N
i'll,116,
if,115,CNJ
wanna,115,VB+TO
out,114,ADV
way,112,N
see,108,V
feel,107,V
no,104,DET
can't,102,MOD
from,100,P
never,100,ADV
are,99,V
'cause,97,
our,97,PRO
one,96,NUM
here,94,ADV
do,92,V
she,92,PRO
gonna,89,VBG+TO
even,86,ADV
take,85,V
was,82,V
at,77,P
heart,77,N
her,76,PRO
back,75,ADV
will,75,MOD
how,74,WH
been,73,V
come,73,V
good,72,ADJ
not,72,*
ooh,71,
only,70,ADV
right,67,ADJ
say,67,V
i've,66,
that's,64,DET
as,63,CNJ
hold,62,V
some,62,DET
think,62,V
need,61,N
time,61,N
about,60,P
ain't,60,V
little,60,DET
they,59,PRO
who,58,WH
could,57,MOD
long,56,ADJ
money,56,N
try,55,V
why,55,WH
have,54,V
still,53,ADV
different,52,ADJ
sound,52,N
ever,51,ADV
gotta,51,VBN+TO
there,49,EX
day,48,N
put,48,V
every,47,DET
give,47,V
nigga,47,
then,46,ADV
too,46,DET
where,46,WH
'em,45,PRO
shine,45,N
life,44,N
fall,43,N
look,43,V
new,43,ADJ
bad,42,ADJ
red,42,ADJ
tonight,42,N
trouble,42,N
fuck,41,V
show,41,V
started,41,VD
bitches,40,
hard,40,ADJ
let's,40,VB+PPO
lucky,40,ADJ
party,40,N
said,40,VD
did,39,V
eyes,39,N
us,39,PRO
bottom,38,N
cause,38,N
had,38,V
keep,38,V
tell,38,V
song,37,N
we'll,37,PRO
won't,37,MOD
gone,36,VN
light,36,N
stop,36,V
die,35,V
into,35,P
more,35,DET
safe,35,ADJ
wait,35,V
