lyric,occurence,pos
you,1876,PRO
i,1838,N
the,1440,DET
me,910,PRO
and,889,CNJ
a,888,DET
to,830,TO
it,785,PRO
that,586,CNJ
my,578,PRO
in,518,P
like,503,CNJ
i'm,487,
on,445,P
she,419,PRO
got,368,VD
just,357,ADV
know,354,V
your,320,PRO
oh,319,UH
love,317,N
so,315,DET
yeah,287,ADV
what,283,WH
this,279,DET
be,274,V
but,274,CNJ
when,272,WH
all,262,DET
don't,259,V
we,255,PRO
with,254,P
do,253,V
is,252,V
of,252,P
for,250,P
it's,247,PRO
take,238,V
can't,235,MOD
can,232,MOD
get,232,V
you're,231,PRO
her,229,PRO
no,227,DET
up,215,ADV
now,210,ADV
make,209,V
girl,208,N
see,193,V
wanna,192,VB+TO
say,175,V
go,173,V
want,168,V
they,163,PRO
if,158,CNJ
time,155,N
life,152,N
way,148,N
one,145,NUM
keep,144,V
baby,135,N
need,132,N
'cause,128,
out,128,ADV
from,125,P
ya,125,PRO
let,121,V
gonna,120,VBG+TO
are,118,V
ain't,117,V
away,113,ADV
back,113,ADV
was,112,V
could,109,MOD
then,108,ADV
have,105,V
never,104,ADV
not,101,*
stop,101,V
down,99,ADV
at,97,P
fine,95,ADJ
shake,94,V
shawty,93,
more,92,DET
ever,90,ADV
boy,89,N
ay,87,
come,87,V
right,87,ADJ
how,84,WH
body,81,N
bum,80,N
put,79,V
some,79,DET
tell,75,V
low,74,ADJ
kiss,72,V
too,72,DET
will,72,MOD
lolli,71,
man,71,N
that's,69,DET
hey,68,UH
night,68,N
watch,67,V
or,66,CNJ
club,65,N
heart,65,N
who,65,WH
feel,64,V
good,64,ADJ
them,64,PRO
there,63,EX
every,61,DET
help,61,V
said,61,VD
think,60,V
tonight,60,N
wee-ooh-wee-ooh-wee,60,
where,60,WH
world,60,N
i'll,59,
money,58,N
as,56,CNJ
boss,54,N
here,54,ADV
there's,54,EX
about,53,P
better,53,ADJ
dollar,53,N
everything,53,PRO
around,51,P
damaged,51,VD
might,51,MOD
through,51,P
always,50,ADV
he,50,PRO
look,50,V
bang,49,V
cause,49,N
seen,49,VN
wait,49,V
going,48,VG
gotta,48,VBN+TO
fly,47,V
hot,47,ADJ
touch,47,N
why,47,WH
before,46,CNJ
believe,46,V
day,46,N
'em,45,PRO
live,45,V
by,44,P
find,44,V
hit,44,V
mind,44,N
only,44,ADV
thing,44,N
dat,43,
fix,43,V
i've,43,
over,43,P
please,43,V
won't,43,MOD
call,42,V
ha,42,UH
really,42,ADV
us,42,PRO
floor,41,N
off,41,ADV
pop,41,N
soulja,41,
because,40,CNJ
crank,40,N
had,40,V
into,40,P
lights,40,N
long,40,ADJ
show,40,V
things,40,N
place,39,N
rock,39,N
try,39,V
again,38,ADV
bill,38,N
womanizer,38,
been,37,V
big,37,ADJ
much,37,DET
piece,37,N
still,37,ADV
bad,36,ADJ
hands,36,N
play,36,V
than,36,CNJ
change,35,N
forever,35,ADV
front,35,N
hear,35,V
would,35,MOD
far,34,ADV
give,34,V
name,34,N
nigga,34,
sent,34,VN
thought,34,VD
lil,33,
music,33,N
ooh,33,
should,33,MOD
song,33,N
we're,33,PRO
you'll,33,PRO
am,32,V
be-dum,32,
new,32,ADJ
she's,32,PRO
turn,32,V
were,32,V
'bout,31,P
even,31,ADV
eyes,31,N
mine,31,PRO
move,31,V
stay,31,V
talk,31,V
him,30,PRO
little,30,DET
our,30,PRO
own,30,ADJ
everybody,29,PRO
miss,29,V
nothing,29,PRO
people,29,N
sorry,29,ADJ
bout,28,N
hate,28,V
home,28,N
shit,28,N
used,28,VN
another,27,DET
bitch,27,N
car,27,N
chorus,27,N
gone,27,VN
late,27,ADJ
leave,27,V
moves,27,VBZ
stuntin,27,
throw,27,V
bleeding,26,VG
done,26,VN
hard,26,ADJ
hold,26,V
knows,26,VBZ
lookin',26,
mama,26,
myself,26,PRO
sexy,26,ADJ
singing,26,VG
wayne,26,
breathe,25,V
gon',25,
something,25,PRO
talkin',25,VG
yes,25,ADV
cyclone,24,
damn,24,ADJ
days,24,N
drop,24,V
face,24,N
hood,24,N
round,24,ADJ
thang,24,
trying,24,VG
best,23,ADJ
couldn't,23,MOD
crazy,23,ADJ
gettin',23,VG
let's,23,VB+PPO
locked,23,VN
mrs,23,
roll,23,V
sweet,23,ADJ
well,23,ADV
without,23,P
young,23,ADJ
-,22,P
ass,22,N
dance,22,N
eh,22,UH
he's,22,PRO
heaven,22,N
his,22,PRO
looking,22,VG
side,22,N
star,22,N
told,22,VD
wherever,22,WH
cant,21,N
escape,21,V
high,21,ADJ
inside,21,P
other,21,DET
real,21,ADJ
realize,21,V
what's,21,WH
wish,21,V
bring,20,V
god,20,N
lady,20,N
last,20,DET
lonely,20,ADJ
moment,20,N
remember,20,V
same,20,DET
tick,20,V
walk,20,V
a-shake,19,
biggest,19,ADJ
chevy,19,
city,19,N
closer,19,ADV
cry,19,N
did,19,V
didn't,19,V
head,19,N
makes,19,VBZ
red,19,ADJ
seduction,19,N
under,19,P
wanted,19,VD
wit,19,N
wrong,19,ADJ
air,18,N
fall,18,N
fresh,18,ADJ
hatin',18,
i'd,18,
lollipop,18,
made,18,VN
mean,18,V
na,18,
next,18,DET
sensual,18,ADJ
tock,18,
whoa,18,
whole,18,ADJ
yours,18,PRO
american,17,
beat,17,N
bottles,17,N
break,17,V
cop,17,N
first,17,NUM
game,17,N
gave,17,VD
grow,17,V
habit,17,N
hair,17,N
la,17,FW
lick,17,V
ohh,17,
run,17,V
sang,17,VD
smile,17,N
start,17,V
step,17,N
stress,17,N
while,17,CNJ
work,17,N
anything,16,PRO
burnin',16,
close,16,ADV
da,16,
dangerous,16,ADJ
diss,16,
disturbia,16,
dovey,16,
fight,16,N
fuck,16,V
has,16,V
left,16,VN
lovey,16,
making,16,VG
must,16,MOD
nobody,16,PRO
oooh,16,
shorty,16,
their,16,PRO
till,16,CNJ
until,16,CNJ
y'all,16,PRO
yo,16,
alright,15,
an,15,DET
bed,15,N
booty,15,N
end,15,N
feels,15,VBZ
hypnotized,15,VN
i'ma,15,
independent,15,ADJ
light,15,N
ooooh,15,
set,15,VN
somethin',15,PRO
t-pain,15,
thinking,15,VG
thug,15,N
understand,15,V
whatever,15,WH
wonder,15,V
write,15,V
alone,14,ADV
angels,14,N
are-are,14,
callin',14,VG
catch,14,V
clothes,14,N
else,14,ADV
found,14,VN
i-i,14,
nice,14,ADJ
niggas,14,
open,14,ADJ
secret,14,ADJ
sky,14,N
thatta,14,
treat,14,V
type,14,N
waiting,14,VG
woo,14,V
4,13,NUM
both,13,DET
breath,13,N
buy,13,V
cash,13,N
die,13,V
doing,13,VG
fear,13,N
felt,13,VD
goin',13,VG
its,13,PRO
jeans,13,
knew,13,VD
lil',13,
lose,13,V
lost,13,VN
loving,13,VG
notice,13,N
singin',13,
slow,13,ADJ
sun,13,N
taste,13,N
these,13,DET
times,13,N
two,13,NUM
asked,12,VD
ay-ay-ay,12,
between,12,P
broke,12,VD
camera,12,N
chick,12,N
ching,12,
click,12,N
cut,12,V
dawn:,12,
flashing,12,VG
it'll,12,PRO
livin',12,
loved,12,VD
many,12,DET
matter,12,N
minutes,12,N
noticin',12,
once,12,ADV
pocket,12,N
rain,12,N
reason,12,N
room,12,N
school,12,N
sheets,12,N
though,12,CNJ
uh,12,
'til,11,
care,11,N
cold,11,ADJ
deep,11,ADJ
drink,11,N
enough,11,DET
famous,11,ADJ
fast,11,ADV
hand,11,N
hearts,11,N
hell,11,N
hoes,11,N
im,11,
madonna,11,
mirror,11,N
paper,11,N
pretty,11,DET
probably,11,ADV
ride,11,V
rollin',11,
save,11,V
sing,11,V
sleep,11,N
summer,11,N
turned,11,VD
tv,11,
verse,11,N
you've,11,PRO
ah,10,UH
alabama,10,
aundrea:,10,
black,10,ADJ
boo,10,V
bouncin',10,
broken,10,VN
buss,10,N
cars,10,N
cool,10,ADJ
danced,10,VD
deserve,10,V
doors,10,N
everyone,10,PRO
falling,10,VG
favorite,10,ADJ
feelin',10,
getting,10,VG
hiding,10,VG
hope,10,N
hump,10,
juicy,10,ADJ
kissed,10,VD
lie,10,V
liked,10,VD
lovin,10,VG
lumps,10,N
most,10,DET
nappy,10,
ne-yo,10,
old,10,ADJ
pain,10,N
phone,10,N
pull,10,V
rules,10,N
rush,10,N
second,10,NUM
somebody,10,PRO
sometimes,10,ADV
soul,10,N
sound,10,N
spell,10,N
stand,10,V
standing,10,VG
straight,10,ADJ
took,10,VD
true,10,ADJ
truth,10,N
wit',10,
wrap,10,V
akon,9,
apologize,9,V
ayer,9,
crowd,9,N
dj,9,
drive,9,N
easy,9,ADJ
fire,9,N
free,9,ADJ
friends,9,N
full,9,ADJ
fur,9,N
ground,9,N
guess,9,V
happen,9,V
heard,9,VD
heels,9,N
hurt,9,V
king,9,N
life's,9,N
lovely,9,ADJ
may,9,MOD
part,9,N
pass,9,V
ready,9,ADJ
rihanna,9,
ruff,9,
scared,9,VN
seven,9,NUM
shine,9,N
someone,9,PRO
spend,9,V
spotlights,9,VBZ
stare,9,V
straps,9,N
strip,9,N
sunrise,9,N
super,9,ADJ
thick,9,ADJ
thinkin',9,
town,9,N
tryin',9,
tryna,9,
who's,9,WH
word,9,N
worry,9,V
yourself,9,PRO
addicted,8,VN
aint,8,
any,8,DET
bumpin',8,
careful,8,ADJ
cherry,8,N
clumsy,8,ADJ
crush,8,N
door,8,N
em,8,PRO
extra,8,ADJ
fallin',8,
fantasize,8,
feeling,8,N
fun,8,N
girls,8,N
goes,8,VBZ
grab,8,V
gray,8,ADJ
grindin',8,
haters,8,
havin',8,
homie,8,
house,8,N
imma,8,
impossible,8,ADJ
laugh,8,N
leaves,8,VBZ
leavin',8,
maybe,8,ADV
needed,8,VN
nowhere,8,ADV
p,8,N
pay,8,V
radio,8,N
realized,8,VD
sad,8,ADJ
seem,8,V
sick,8,ADJ
stacks,8,N
superstar,8,
swear,8,V
tattoo,8,
those,8,DET
tight,8,ADJ
titty's,8,
together,8,ADV
top,8,N
tried,8,VD
waist,8,N
welcome,8,ADJ
went,8,VD
wet,8,ADJ
white,8,ADJ
woman,8,N
'cuz,7,
after,7,P
ahead,7,ADV
ahh,7,
apple,7,N
ask,7,V
bag,7,N
beautiful,7,ADJ
bet,7,V
blame,7,V
bottom,7,N
butterfly,7,N
came,7,VD
clean,7,ADJ
closing,7,VG
control,7,N
dear,7,ADJ
dick,7,
each,7,DET
fair,7,ADJ
fancy,7,N
feet,7,N
fell,7,VD
freak,7,N
fumblin',7,
g5,7,
gas,7,N
gets,7,VBZ
haha,7,
hang,7,V
kanye,7,
kind,7,N
lot,7,N
mmmmm,7,
mouth,7,N
mr,7,
nah,7,
nothin',7,PRO
nothing's,7,
ohhh,7,
okay,7,ADJ
past,7,N
pulled,7,VD
ro,7,
scene,7,N
seat,7,N
sex,7,N
sight,7,N
since,7,CNJ
slums,7,N
so-so,7,ADJ
stage,7,N
started,7,VD
streets,7,N
sure,7,ADJ
talking,7,VG
tha,7,
three,7,NUM
today,7,N
trip,7,N
unlike,7,P
we'd,7,PRO
we'll,7,PRO
wear,7,V
west,7,N
wide,7,ADJ
window,7,N
wouldn't,7,MOD
'round,6,ADV
10,6,NUM
across,6,P
act,6,N
already,6,ADV
blue,6,ADJ
bottle,6,N
boyfriend,6,
brand,6,N
child,6,N
different,6,ADJ
does,6,V
double,6,ADJ
dress,6,N
fame,6,N
flo,6,
forget,6,V
forgot,6,VD
friend,6,N
funny,6,ADJ
glad,6,ADJ
half,6,DET
i'mma,6,
ice,6,N
justin:],6,
keeps,6,VBZ
kinda,6,DET
kodak,6,
learning,6,VG
line,6,N
lips,6,N
listen,6,V
looks,6,VBZ
lord,6,N
loud,6,ADJ
manners,6,N
met,6,VD
missed,6,VN
motherfucka,6,
naw,6,
number,6,N
pants,6,N
pardon,6,N
party,6,N
plus,6,CNJ
pole,6,N
private,6,ADJ
problem,6,N
promise,6,N
quite,6,DET
refuse,6,V
remind,6,V
rich,6,ADJ
rick,6,
rockin',6,
romeo,6,
running,6,VG
says,6,VBZ
somewhere,6,ADV
spot,6,N
starts,6,VBZ
steady,6,ADJ
superman,6,
telling,6,VG
theget,6,
they're,6,PRO
thin,6,ADJ
tip,6,N
tomorrow,6,N
u,6,PRO
vibe,6,
walked,6,VD
walking,6,VG
wants,6,VBZ
watchin',6,
watching,6,VG
weezy,6,
wondering,6,VG
wosh,6,
wrapper,6,N
wu,6,
you-you,6,
aaooo,5,
above,5,P
alive,5,ADJ
apart,5,ADV
aundrea,5,
baggy,5,ADJ
breakin',5,
brought,5,VD
caught,5,VD
chance,5,N
chest,5,N
chocolate,5,N
comin',5,N
cuz,5,
daddy,5,
date,5,N
deck,5,N
deezle,5,
doubt,5,N
dream,5,N
drew,5,VD
ear,5,N
embrace,5,V
everything's,5,PRO
fade,5,V
figure,5,N
finally,5,ADV
five,5,NUM
gift,5,N
giving,5,VG
harder,5,ADV
he'd,5,PRO
hide,5,V
hotter,5,ADJ
hun,5,
hung,5,VD
iii,5,
jesus,5,
kill,5,V
lane,5,N
lava,5,N
lets,5,VBZ
lies,5,VBZ
lookin,5,
mad,5,ADJ
mane,5,
mighty,5,ADJ
million,5,NUM
neck,5,N
ohhhh,5,
ooo,5,
patron,5,N
perfect,5,ADJ
pink,5,ADJ
playing,5,VG
pocketful,5,
pray,5,V
protection,5,N
pussy,5,N
rap,5,N
remains,5,VBZ
rest,5,N
saw,5,VD
sha,5,
shadow,5,N
she'll,5,PRO
she-she,5,
showed,5,VD
simple,5,ADJ
slipping,5,VG
sounds,5,N
speak,5,V
standin',5,VG
staring,5,VG
sticks,5,N
stones,5,N
sunshine,5,N
sweetest,5,ADJ
taken,5,VN
temperature,5,N
timbaland,5,
tired,5,VN
toes,5,N
touching,5,VG
track,5,N
tropics,5,N
ugh,5,
uhh,5,
vip,5,
waitin',5,
wall,5,N
waste,5,N
we've,5,PRO
wishing,5,VG
woah,5,
you'd,5,PRO
3,4,NUM
aaa,4,
actin',4,
afraid,4,ADJ
aim,4,N
along,4,P
amazing,4,ADJ
arrive,4,V
askin',4,
bank,4,N
bar,4,N
beach,4,N
become,4,V
behind,4,P
bein',4,V
bones,4,N
boots,4,N
boys,4,N
brain,4,N
britney's,4,
brown,4,ADJ
c'mon,4,
call-ca-call,4,
called,4,VN
cannot,4,MOD
chain,4,N
check,4,N
chris,4,
clear,4,ADJ
closed,4,VN
coladas,4,
comin,4,VG
coming,4,VG
complaining,4,VG
curves,4,N
cute,4,ADJ
dark,4,ADJ
darkness,4,N
devil,4,N
direction,4,N
doin',4,VG
down.,4,
eat,4,V
ending,4,VG
feela,4,
feelings,4,N
fingers,4,N
flippin',4,
flowers,4,N
fo',4,
fool,4,N
games,4,N
